gene_id	gene_name	acronym	geneProduct	A86	A256	A485	A86256	A86485	dnf2
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0179951	MtrunA17Chr1g0179951	""	""	-2.09045714169995	-1.71219747145166	-2.71588845719677	-1.35569630551628	-7.18372750609688	-6.62860462644526
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0179961	MtrunA17Chr1g0179961	""	""	-2.36133374018521	-1.89102305463179	-2.31746150209982	-1.43304817604827	-7.00158899759716	-5.54292738824206
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0182001	MtrunA17Chr1g0182001	""	""	3.58448988491067	6.59755913556247	6.42748781299623	7.56416101813943	1.65671904376079	0
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0184021	MtrunA17Chr1g0184021	""	""	5.28382345945393	5.68205417581351	5.4483817914239	5.6605819340178	-2.08321543470119	0.97827048718835
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0184031	MtrunA17Chr1g0184031	""	""	6.83599397539974	7.44195006397609	7.05870648336003	7.38397724606005	-0.975452670511359	1.91695776429154
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0184041	MtrunA17Chr1g0184041	""	""	5.03482500948628	5.36168975521573	5.16255167983966	5.29096281596328	-2.3191579983392	0.709462501525434
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0184081	MtrunA17Chr1g0184081	""	""	5.5237086134119	5.03884161383052	5.30108641848905	5.16763904929141	-2.66087565366678	-2.66087565366678
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0184111	MtrunA17Chr1g0184111	""	""	-2.35942522216633	-1.14581696089585	-1.37412335364661	-1.88538605262981	-10.0404507868064	-10.0404507868064
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0185421	MtrunA17Chr1g0185421	""	""	0.435149373844765	0.454364037004638	0.0855942580934343	-0.147063458554697	-6.25937542443159	-8.84709360904241
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0186401	MtrunA17Chr1g0186401	MtIDA29	Inflorescence Deficient in Abscission	7.07272231480101	6.28720587586986	7.15714647883073	5.19053825496971	3.26326542958656	7.05059149037867
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0186601	MtrunA17Chr1g0186601	""	""	-0.796051365801286	-2.89369770086931	-1.86553467169772	-0.740449731401513	-6.67708439168403	-7.27983762552133
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0187161	MtrunA17Chr1g0187161	MtSubIn3	Subtilisin inhibitor	5.12818362166581	5.89554561207438	6.25681168358771	6.86879424106257	0.707382803490912	2.33728689698326
medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0187201	MtrunA17Chr1g0187201	MtSubIn4	Subtilisin inhibitor	6.37467766758598	7.78288182785453	7.63913441576461	7.41575888270945	3.80205034308673	6.51760165488944
